Current Family,Current Scienticfic Name,Dowhan Family,Name in Dowhan 1979 ,Common Name(s),Origin,Conservation Status,Connecticut (sources used by Haines),Notes,Other synonyms,,,,,,
Amaranthaceae,Atriplex prostrata Bouchér ex DC.,Chenopodiaceae,Atriplex patula L. var. hastata (L.) Gray,hastate-leaved orache,N,,Kartesz (1999); Seymour (1982),"Haines says that this species is the same as A. patula var hastata from authors other than Gray. However, Dowhan lumps this variety regardless of the authority - again further clarification will be needed; non-coastal populations are likely not native ",,,,,,,
Amaranthaceae,Atriplex subspicata (Nutt.) Rydb.,new,new,saline orache,N,,,,,,,,,,
Amaranthaceae,Atriplex tatarica L.,Chenopodiaceae,same,Tatarian orache,E,,"Dowhan (1979); Welsh (2003); 1908, Bissell s.n. (GH!)",,,,,,,,
Amaranthaceae,Bassia hirsuta (L.) Aschers.,new,new,hairy smotherweed; common kochia; fireweed,I,,CONN,,Kochia scoparia,,,,,,
Amaranthaceae,Beta vulgaris L.,new,new,beet,E,,Kartesz (1999); Magee and Ahles (1999),Listed as non-persistant in Dowhan Appendix A with same name,,,,,,,
Amaranthaceae,Celosia cristata L.,new,new,crested cock’s-comb,E,,"Robertson (2003); Kartesz (2008); Bean et al. (1958; Rhodora 60: 301, 305)",Listed as non-persistant in Dowhan Appendix A under Celosia argentea L. var. cristata (L.) Ktze.,,,,,,,
Amaranthaceae,Chenopodium album L.,Chenopodiaceae,Chenopodium album L. var. album; Chenopodium album L. var. lanceolatum (Muhl.) Coss. & Germ.,white goosefoot; lamb's quarters; pigweed,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Chenopodium berlandieri Moq. var. bushianum (Aellen) Cronq.,Chenopodiaceae,Chenopodium bushianum Aellen,pit-seeded goosefoot,N,,Kartesz (1999); Seymour (1982),Dowhan says it is not native,,,,,,,
Amaranthaceae,Chenopodium berlandieri Moq. var. macrocalycium (Aellen) Cronq.,Chenopodiaceae,Chenopodium macrocalycium Aellen,pit-seeded goosefoot; seabeach goosefoot,N,,"Arthur Haines (peronal observation, plants collected); Magee and Ahles (1999)",,,,,,,,
Amaranthaceae,Chenopodium bonus-henricus L.,Chenopodiaceae,same,perennial goosefoot; good King Henry,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Chenopodium capitatum (L.) Aschers. var. capitatum,Chenopodiaceae,Chenopodium capitatum (L.) Aschers.,strawberry-blite,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Chenopodium foggii H.A. Wahl,new,new,Fogg’s goosefoot,N,,Haines and Newcomber (2002; specimens cited within),Haines lists as conservation concern - is this rare in CT?,,,,,,,
Amaranthaceae,Chenopodium glaucum L. ssp. glaucum,Chenopodiaceae,Chenopodium glaucum L. ,oak-leaved goosefoot,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Chenopodium murale L.,Chenopodiaceae,same,nettle-leaved goosefoot; sowbane,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Chenopodium pratericola Rydb.,Chenopodiaceae,Chenopodium pratericola Rydb. var. pratericola; Chenopodium pratericola Rydb. var. oblongifolium (S. Wats.) Wahl,desert goosefoot; white pigweed,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Chenopodium rubrum L. var. rubrum,Chenopodiaceae,Chenopodium rubrum L.,red goosefoot; coast blite,N,SCH,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Chenopodium simplex (Torr.) Raf.,Chenopodiaceae,Chenopodium gigantospermum Aellen,giant-seeded goosefoot; maple-leaved goosefoot,N,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Chenopodium standleyanum Aellen,Chenopodiaceae,same,Standley’s goosefoot,E,,,Dowhan lists as native. Hains states that although native to N. America it is only foundi in disturbed habitats in NE and suggests it is not native in the region,,,,,,,
Amaranthaceae,Chenopodium strictum Roth ssp. glaucophyllum (Aellen) Aellen & Just.,Chenopodiaceae,Chenopodium strictum Roth var. glaucophyllum (Aellen) Wahl,oval-seeded goosefoot,E,,Wahl (1954; specimens cited within),Dowhan lists as native. Hains states that although likely native to N. America it is only found in disturbed habitats in NE and suggests it is not native in the region,,,,,,,
Amaranthaceae,Chenopodium urbicum L.,Chenopodiaceae,same,city goosefoot,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Cycloloma atriplicifolium (Spreng.) Coult.,Chenopodiaceae,same,winged-pigweed,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Dysphania ambrosioides (L.) Mosyakin & Clemants,Chenopodiaceae,Chenopodium ambrosioides L. var. ambrosioides,Mexican-tea,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Dysphania botrys (L.) Mosyakin & Clemants,Chenopodiaceae,Chenopodium botrys L.,Jerusalem-oak,E,,Kartesz (1999); Seymour (1982),,,,,,,,
Amaranthaceae,Dysphania pumilio (R. Br.) Mosyakin & Clemants,new,new,clammy glandular-goosefoot,E,,CONN!,,,,,,,,
Amaranthaceae,Froelichia gracilis (Hook.) Moq.,Amaranthaceae,same,slender cotton-weed; slender snake-cotton,I,,Dowhan (1979),,,,,,,,
Amaranthaceae,Kochia scoparia (L.) Schrad.,Chenopodiaceae,Kochia scoparia (L.) Schrader var. culta Farw.,summer-cypress; common kochia,I,,Seymour (1982); Kartesz (1999),,,,,,,,
Amaranthaceae,Salicornia ambigua Michx.,Chenopodiaceae,Salicornia virginica L.,perennial glasswort,N,,Seymour (1982); Kartesz (1999),This species has been misapplied as S. virginica which is actually annual,,,,,,,
Amaranthaceae,Salicornia bigelovii Torr.,Chenopodiaceae,same,dwarf glasswort; dwarf saltwort,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Amaranthaceae,Salicornia depressa Standl.,Chenopodiaceae,Salicornia europaea L. var. europaea; Salicornia europaea L. var. simplex (Pursh) Fern.,common glasswort; chicken-claws,N,,Seymour (1982); Kartesz (1999),This species has been called S. europaea but that is restricted to Europe,,,,,,,
Amaranthaceae,Salsola kali L. ssp. kali,Chenopodiaceae,Salsola kali L. var. kali,saltwort,E,,Mosyakin (2003),Dowhan says it is native,,,,,,,
Amaranthaceae,Salsola kali L. ssp. pontica (Pallas) Mosyakin,Chenopodiaceae,Salsola kali L. var. caroliniana (Walt.) Nutt.,saltwort,E,,NEBC!,Dowhan lists as native; IT IS has this varity listed in Dowhan as now being ssp kali - but we will go with Haines nomenclature,,,,,,,
Amaranthaceae,Salsola tragus L.,Chenopodiaceae,Salsola kali L. var. tenuifolia Tausch,prickly saltwort; Russian thistle; tumbleweed,E,,Mosyakin (2003),,,,,,,,
Amaranthaceae,Spinacea oleracea L.,new,new,spinach,E,,"Harger et al. (1930), Eames collection from Fairfield County; Angelo and Boufford (on-line atlas)",,,,,,,,
Amaranthaceae,Suaeda calceoliformis (Hook.) Moq.,new,new,American sea-blite,N,,,,,,,,,,
Amaranthaceae,Suaeda linearis (Ell.) Moq.,Chenopodiaceae,same,annual sea-blite; tall sea-blite,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Amaranthaceae,Suaeda maritima (L.) Dumort. ssp. maritima,Chenopodiaceae,Suaeda maritima (L.) Dumort.,herbaceous sea-blite; low sea-blite,E,,Seymour (1982); Kartesz (1999),Dowhan lists as native. Haines says other ssp is native but not present in CT,,,,,,,
Amaryllidaceae,Leucojum aestivum L.,Amaryllidaceae,same,summer snowflake,E,,,,,,,,,,
Amaryllidaceae,Narcissus poeticus L.,Amaryllidaceae,same,poet's narcissus,E,,,,,,,,,,
Amaryllidaceae,Narcissus pseudonarcissus L.,Amaryllidaceae,same,common daffodil,E,,,,,,,,,,
Anacardiaceae,Cotinus coggygria Scop.,Anacardiaceae,same,European smoketree,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Anacardiaceae,Rhus aromatica Ait. var. aromatica,Anacardiaceae,Rhus aromatica Ait.,fragrant sumac,N,SCH,Seymour (1982); Kartesz (1999),,,,,,,,
Anacardiaceae,Rhus copallinum L. var. latifolia Engl.,Anacardiaceae,Rhus copallina L. var. latifolia Engler,winged sumac; shining sumac,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Anacardiaceae,Rhus glabra L.,Anacardiaceae,same,smooth sumac,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Anacardiaceae,Rhus hirta (L.) Sudworth,Anacardiaceae,Rhus typhina L.,staghorn sumac,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Anacardiaceae,Toxicodendron radicans (L.) Kuntze ssp. radicans,Anacardiaceae,Toxicodendron radicans (L.) Ktze. ssp. radicans,poison-ivy,N,,Gillis (1971),,,,,,,,
Anacardiaceae,Toxicodendron rydbergii (Small ex Rydb.) Greene,Anacardiaceae,same,western poison-ivy,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Anacardiaceae,Toxicodendron vernix (L.) Kuntze,Anacardiaceae,Toxicodendron vernix (L.) Ktze.,poison-sumac,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Aegopodium podagraria L.,Umbelliferae,same,goutweed,I,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Aethusa cynapium L.,Umbelliferae,same,fool's-parsley,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Anethum graveolens L.,new,new,dill,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Angelica atropurpurea L.,Umbelliferae,same,purple-stemmed Angelica,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Angelica lucida L.,Umbelliferae,Coelopleurum lucidum (L.) Fern.,sea coast Angelica,N,En,Bill Moorhead (personal communication); Tucker (1995),,,,,,,,
Apiaceae,Angelica venenosa (Greenway) Fern.,Umbelliferae,same,hairy Angelica; field pussytoes,N,SCH,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Anthriscus cerefolium (L.) Hoffmann,Umbelliferae,same,garden chervil,E,,Dowhan (1979),,,,,,,,
Apiaceae,Anthriscus sylvestris (L.) Hoffmann,new,new,wild chervil,E,,Magee and Ahles (1999); Kartesz (1999),,,,,,,,
Apiaceae,Apium graveolens L.,Umbelliferae,Apium graveolens L.,celery,E,,Not,Not in CT per Haines,,,,,,,
Apiaceae,Aralia elata (Miq.) Seem.,new,new,Japanese angelica-tree,E,,,,,,,,,,
Apiaceae,Aralia hispida Vent.,Araliaceae,same,bristly sarsaparilla,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Aralia nudicaulis L.,Araliaceae,same,wild sarsaparilla,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Aralia racemosa L. ssp. racemosa,Araliaceae,Aralia racemosa L.,American spikenard,N,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Aralia spinosa L.,Araliaceae,same,Hercules'-club,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Bupleurum lancifolium Hornem.,new,new,lance-leaved thorough-wax,E,,CONN (image seen!),,,,,,,,
Apiaceae,Carum carvi L.,Umbelliferae,same,caraway,E,,Seymour (1982); Kartesz (1999),,,,,,,,
Apiaceae,Cicuta bulbifera L.,Umbelliferae,same,bulblet-bearing water-hemlock; water-hemlock,N,,Seymour (1982); Kartesz (1999),,,,,,,,
